,,,,
List of environmental statutes,,,,
,,,,
Act Number,Name of the Act,Act Abb.,USC Citation,Year
11,"Federal Food, Drug, and Cosmetic Act (FFDCA)",FFDCA,21 U.S.C. 399,2002
12,"Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA)",FIFRA,7 U.S.C. 136 ,1996
13,"Marine Protection, Research, and Sanctuaries Act (MPRSA, also known as the Ocean Dumping Act)",MPRSA,16 USC 1431,1988
13,"Marine Protection, Research, and Sanctuaries Act (MPRSA, also known as the Ocean Dumping Act)",MPRSA,33 USC 1401,1988
14,National Environmental Policy Act (NEPA),NEPA,42 U.S.C. 4321,1970
15,Noise Control Act,NCA,42 U.S.C. 4901,1972
16,Nuclear Waste Policy Act (NWPA),NWPA,42 U.S.C. 10101,1982
17,Oil Pollution Act (OPA),OPA,33 U.S.C. 2701,1990
18,Pollution Prevention Act (PPA),PPA,42 U.S.C. 13101,1990
19,Resource Conservation and Recovery Act (RCRA),RCRA,42 U.S.C. 6901,1976
20,Safe Drinking Water Act (SDWA),SDWA,42 U.S.C. 300f,1974
21,Shore Protection Act (SPA),SPA,33 U.S.C. 2601,1988
22,Toxic Substances Control Act (TSCA),TSCA,15 U.S.C. 2601,1976
23,Migratory Bird Treaty Act,MBTA,16 U.S.C. 703,1918
23,Migratory Bird Treaty Act,MBTA,16 U.S.C. 704,1918
23,Migratory Bird Treaty Act,MBTA,16 U.S.C. 705,1918
23,Migratory Bird Treaty Act,MBTA,16 U.S.C. 706,1918
23,Migratory Bird Treaty Act,MBTA,16 U.S.C. 707,1918
23,Migratory Bird Treaty Act,MBTA,16 U.S.C. 708,1918
23,Migratory Bird Treaty Act,MBTA,16 U.S.C. 709,1918
23,Migratory Bird Treaty Act,MBTA,16 U.S.C. 710,1918
23,Migratory Bird Treaty Act,MBTA,16 U.S.C. 711,1918
23,Migratory Bird Treaty Act,MBTA,16 U.S.C. 712,1918
24,Migratory Bird Conservation Act,MBCC,16 U.S.C. 715,1929
25,Farmland Protection Policy Act,FPPA,7 U.S.C. 4201,1984
25,Farmland Protection Policy Act,FPPA,7 U.S.C. 4202,1984
25,Farmland Protection Policy Act,FPPA,7 U.S.C. 4203,1984
